ID,Praktik (detik),Tidak_praktik (detik),Tidur (detik)
1,0.0,3.67,0.0
2,3.67,0.0,0.0
3,3.67,0.0,0.0
4,3.67,0.0,0.0
5,3.67,0.0,0.0
6,3.67,0.0,0.0
7,3.53,0.13,0.0
8,3.67,0.0,0.0
9,3.67,0.0,0.0
10,3.67,0.0,0.0
11,3.67,0.0,0.0
12,3.67,0.0,0.0
13,3.67,0.0,0.0
14,3.63,0.03,0.0
15,2.8,0.87,0.0
16,0.5,3.17,0.0
17,3.67,0.0,0.0
18,0.3,3.37,0.0
19,3.2,0.47,0.0
20,3.5,0.17,0.0
21,1.53,2.13,0.0
27,1.73,1.77,0.0
32,3.23,0.17,0.0
36,3.3,0.0,0.0
41,0.0,3.23,0.0
45,2.7,0.0,0.0
48,2.33,0.23,0.0
52,0.0,2.37,0.0
54,2.33,0.0,0.0
56,1.73,0.0,0.0
63,0.6,0.37,0.0
66,0.0,0.9,0.0
72,0.0,0.8,0.0
73,0.0,0.8,0.0
75,0.73,0.03,0.0
76,0.67,0.0,0.0
87,0.0,0.17,0.0
89,0.1,0.0,0.0
91,0.0,0.0,0.0
